序号,帧ID,时间标识,类型,报文描述,报文内容,长度,数据(Hex),
10,0x18FDB200,06:17:08.774,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0xFD ) GE(0xB2 ) SA(0x0 ) PGN(0xFDB2 ) Data Field(0xFF FF FF FF 00 00 FF FF ),8,FF FF FF FF 00 00 FF FF ,
11,0x18FDD000,06:17:08.774,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0xFD ) GE(0xD0 ) SA(0x0 ) PGN(0xFDD0 ) Data Field(0xFF FF FF FF 32 ED 03 FF ),8,FF FF FF FF 32 ED 03 FF ,
12,0x18FDE500,06:17:08.776,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0xFD ) GE(0xE5 ) SA(0x0 ) PGN(0xFDE5 ) Data Field(0x00 FF FF FF FF FF FF 00 ),8,00 FF FF FF FF FF FF 00 ,
13,0x1CFE9200,06:17:08.776,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xFE ) GE(0x92 ) SA(0x0 ) PGN(0xFE92 ) Data Field(0x00 FF FF FF 00 00 00 00 ),8,00 FF FF FF 00 00 00 00 ,
14,0x18FE9600,06:17:08.776,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0xFE ) GE(0x96 ) SA(0x0 ) PGN(0xFE96 ) Data Field(0x00 FF FF FF FF FF FF FF ),8,00 FF FF FF FF FF FF FF ,
15,0x18FEBD00,06:17:08.777,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0xFE ) GE(0xBD ) SA(0x0 ) PGN(0xFEBD ) Data Field(0x00 00 FF FF FF FF FF FF ),8,00 00 FF FF FF FF FF FF ,
16,0x18FEC100,06:17:08.777,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0xFE ) GE(0xC1 ) SA(0x0 ) PGN(0xFEC1 ) Data Field(0x00 00 00 00 00 00 00 00 ),8,00 00 00 00 00 00 00 00 ,
17,0x18FEDF00,06:17:08.778,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0xFE ) GE(0xDF ) SA(0x0 ) PGN(0xFEDF ) Data Field(0x8C 30 2A 7D 7D FF FF F0 ),8,8C 30 2A 7D 7D FF FF F0 ,
18,0x18FEE000,06:17:08.780,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0xFE ) GE(0xE0 ) SA(0x0 ) PGN(0xFEE0 ) Data Field(0x00 00 00 00 00 00 00 00 ),8,00 00 00 00 00 00 00 00 ,
19,0x18FEE400,06:17:08.780,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0xFE ) GE(0xE4 ) SA(0x0 ) PGN(0xFEE4 ) Data Field(0x00 FF C4 FC FC 7F FF FF ),8,00 FF C4 FC FC 7F FF FF ,
20,0x18FEEE00,06:17:08.780,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0xFE ) GE(0xEE ) SA(0x0 ) PGN(0xFEEE ) Data Field(0x45 FF C2 25 FF FF FF FF ),8,45 FF C2 25 FF FF FF FF ,
21,0x18FEEF00,06:17:08.780,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0xFE ) GE(0xEF ) SA(0x0 ) PGN(0xFEEF ) Data Field(0xFF FF FF 00 FF FF FF FF ),8,FF FF FF 00 FF FF FF FF ,
22,0x18FEF000,06:17:08.781,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0xFE ) GE(0xF0 ) SA(0x0 ) PGN(0xFEF0 ) Data Field(0xFF 00 00 00 00 00 00 FF ),8,FF 00 00 00 00 00 00 FF ,
23,0x18FEF100,06:17:08.781,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0xFE ) GE(0xF1 ) SA(0x0 ) PGN(0xFEF1 ) Data Field(0xFF 00 00 FF FF 00 03 FF ),8,FF 00 00 FF FF 00 03 FF ,
24,0x18FEF200,06:17:08.782,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0xFE ) GE(0xF2 ) SA(0x0 ) PGN(0xFEF2 ) Data Field(0x00 00 00 00 FF FA 11 FF ),8,00 00 00 00 FF FA 11 FF ,
25,0x18FEF500,06:17:08.784,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0xFE ) GE(0xF5 ) SA(0x0 ) PGN(0xFEF5 ) Data Field(0xC9 FF FF FF FF 45 FF FF ),8,C9 FF FF FF FF 45 FF FF ,
26,0x18FEF600,06:17:08.784,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0xFE ) GE(0xF6 ) SA(0x0 ) PGN(0xFEF6 ) Data Field(0xFF 00 45 32 FF FF FF FF ),8,FF 00 45 32 FF FF FF FF ,
27,0x18FEF700,06:17:08.784,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0xFE ) GE(0xF7 ) SA(0x0 ) PGN(0xFEF7 ) Data Field(0xFF FF FF FF 3D 00 3D 00 ),8,FF FF FF FF 3D 00 3D 00 ,
28,0x18FEFC00,06:17:08.784,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0xFE ) GE(0xFC ) SA(0x0 ) PGN(0xFEFC ) Data Field(0xFF 30 FF FF FF FF FF FF ),8,FF 30 FF FF FF FF FF FF ,
29,0x18FEFD00,06:17:08.786,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0xFE ) GE(0xFD ) SA(0x0 ) PGN(0xFEFD ) Data Field(0xFF 00 00 FF FF FF FF FF ),8,FF 00 00 FF FF FF FF FF ,
30,0x18FEFF00,06:17:08.786,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0xFE ) GE(0xFF ) SA(0x0 ) PGN(0xFEFF ) Data Field(0xFC FF FF FF FF FF FF FF ),8,FC FF FF FF FF FF FF FF ,
31,0x18FD0700,06:17:08.786,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0xFD ) GE(0x7 ) SA(0x0 ) PGN(0xFD07 ) Data Field(0x10 1F FC FF FF FF FF FF ),8,10 1F FC FF FF FF FF FF ,
32,0x18FD0600,06:17:08.788,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0xFD ) GE(0x6 ) SA(0x0 ) PGN(0xFD06 ) Data Field(0x04 FF FF FF FF FF FF FF ),8,04 FF FF FF FF FF FF FF ,
33,0x18FD0900,06:17:08.788,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0xFD ) GE(0x9 ) SA(0x0 ) PGN(0xFD09 ) Data Field(0xFF FF FF FF FF FF FF FF ),8,FF FF FF FF FF FF FF FF ,
34,0x0CF00400,06:17:08.788,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0xF0 ) GE(0x4 ) SA(0x0 ) PGN(0xF004 ) Data Field(0x44 D4 81 00 00 00 FF E4 ),8,44 D4 81 00 00 00 FF E4 ,
35,0x0CF00300,06:17:08.791,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0xF0 ) GE(0x3 ) SA(0x0 ) PGN(0xF003 ) Data Field(0xC0 FF 00 00 FF FF FF E1 ),8,C0 FF 00 00 FF FF FF E1 ,
36,0x0CF00400,06:17:08.793,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0xF0 ) GE(0x4 ) SA(0x0 ) PGN(0xF004 ) Data Field(0x44 D4 81 00 00 00 FF E4 ),8,44 D4 81 00 00 00 FF E4 ,
37,0x0CF00A00,06:17:08.793,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0xF0 ) GE(0xA ) SA(0x0 ) PGN(0xF00A ) Data Field(0xFF FF 00 00 FF FF FF FF ),8,FF FF 00 00 FF FF FF FF ,
38,0x0CF00E00,06:17:08.793,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0xF0 ) GE(0xE ) SA(0x0 ) PGN(0xF00E ) Data Field(0xFF FF 32 5B FF FF FF FF ),8,FF FF 32 5B FF FF FF FF ,
39,0x0CF00400,06:17:08.815,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0xF0 ) GE(0x4 ) SA(0x0 ) PGN(0xF004 ) Data Field(0x44 D4 81 78 00 00 FF E4 ),8,44 D4 81 78 00 00 FF E4 ,
40,0x0CF00400,06:17:08.829,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0xF0 ) GE(0x4 ) SA(0x0 ) PGN(0xF004 ) Data Field(0x4B D4 81 68 01 00 FF E4 ),8,4B D4 81 68 01 00 FF E4 ,
41,0x18FEE000,06:17:08.835,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0xFE ) GE(0xE0 ) SA(0x0 ) PGN(0xFEE0 ) Data Field(0x00 00 00 00 00 00 00 00 ),8,00 00 00 00 00 00 00 00 ,
42,0x18EBFF00,06:17:08.835,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0xEB ) DA(0xFF ) SA(0x0 ) PGN(0xEB00 ) Data Field(0x01 30 2A 8A A0 8C 8A 40 ),8,01 30 2A 8A A0 8C 8A 40 ,
43,0x0CF00300,06:17:08.839,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0xF0 ) GE(0x3 ) SA(0x0 ) PGN(0xF003 ) Data Field(0xD0 FF 03 00 FF FF FF E1 ),8,D0 FF 03 00 FF FF FF E1 ,
44,0x0CF00A00,06:17:08.839,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0xF0 ) GE(0xA ) SA(0x0 ) PGN(0xF00A ) Data Field(0xFF FF 00 00 FF FF FF FF ),8,FF FF 00 00 FF FF FF FF ,
45,0x0CF00E00,06:17:08.839,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0xF0 ) GE(0xE ) SA(0x0 ) PGN(0xF00E ) Data Field(0xFF FF 32 5B FF FF FF FF ),8,FF FF 32 5B FF FF FF FF ,
46,0x1CFE9200,06:17:08.841,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xFE ) GE(0x92 ) SA(0x0 ) PGN(0xFE92 ) Data Field(0x00 FF FF FF 00 00 CD 00 ),8,00 FF FF FF 00 00 CD 00 ,
47,0x18FE9600,06:17:08.841,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0xFE ) GE(0x96 ) SA(0x0 ) PGN(0xFE96 ) Data Field(0xFF FF FF FF FF FF FF FF ),8,FF FF FF FF FF FF FF FF ,
48,0x18FEF000,06:17:08.841,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0xFE ) GE(0xF0 ) SA(0x0 ) PGN(0xFEF0 ) Data Field(0xFF E0 01 30 2A 01 00 FF ),8,FF E0 01 30 2A 01 00 FF ,
49,0x18FEF100,06:17:08.841,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0xFE ) GE(0xF1 ) SA(0x0 ) PGN(0xFEF1 ) Data Field(0xFF 00 00 FF FF 00 0C FF ),8,FF 00 00 FF FF 00 0C FF ,
50,0x18FEF200,06:17:08.843,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0xFE ) GE(0xF2 ) SA(0x0 ) PGN(0xFEF2 ) Data Field(0x00 00 00 00 FF FA 11 FF ),8,00 00 00 00 FF FA 11 FF ,
51,0x0CF00400,06:17:08.853,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0xF0 ) GE(0x4 ) SA(0x0 ) PGN(0xF004 ) Data Field(0x4B D4 81 E0 01 00 FF E4 ),8,4B D4 81 E0 01 00 FF E4 ,
52,0x0CF00400,06:17:08.870,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0xF0 ) GE(0x4 ) SA(0x0 ) PGN(0xF004 ) Data Field(0x4B D4 81 D0 02 00 FF E5 ),8,4B D4 81 D0 02 00 FF E5 ,
53,0x0CF00300,06:17:08.893,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0xF0 ) GE(0x3 ) SA(0x0 ) PGN(0xF003 ) Data Field(0xD0 FF 03 00 FF FF FF E1 ),8,D0 FF 03 00 FF FF FF E1 ,
54,0x0CF00400,06:17:08.893,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0xF0 ) GE(0x4 ) SA(0x0 ) PGN(0xF004 ) Data Field(0x43 D4 81 BC 03 00 FF E5 ),8,43 D4 81 BC 03 00 FF E5 ,
55,0x0CF00A00,06:17:08.893,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0xF0 ) GE(0xA ) SA(0x0 ) PGN(0xF00A ) Data Field(0xFF FF 00 00 FF FF FF FF ),8,FF FF 00 00 FF FF FF FF ,
56,0x0CF00E00,06:17:08.893,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0xF0 ) GE(0xE ) SA(0x0 ) PGN(0xF00E ) Data Field(0xFF FF 32 5B FF FF FF FF ),8,FF FF 32 5B FF FF FF FF ,
57,0x18EBFF00,06:17:08.906,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0xEB ) DA(0xFF ) SA(0x0 ) PGN(0xEB00 ) Data Field(0x02 51 8A 80 70 8A 00 7D ),8,02 51 8A 80 70 8A 00 7D ,
58,0x0CF00400,06:17:08.908,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0xF0 ) GE(0x4 ) SA(0x0 ) PGN(0xF004 ) Data Field(0x43 D4 81 10 02 00 FF E5 ),8,43 D4 81 10 02 00 FF E5 ,
59,0x0CF00400,06:17:08.930,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0xF0 ) GE(0x4 ) SA(0x0 ) PGN(0xF004 ) Data Field(0x43 D4 81 D0 02 00 FF E5 ),8,43 D4 81 D0 02 00 FF E5 ,
60,0x18FD0600,06:17:08.933,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0xFD ) GE(0x6 ) SA(0x0 ) PGN(0xFD06 ) Data Field(0x00 FF FF FF FF FF FF FF ),8,00 FF FF FF FF FF FF FF ,
61,0x0CF00300,06:17:08.946,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0xF0 ) GE(0x3 ) SA(0x0 ) PGN(0xF003 ) Data Field(0xD0 FF 03 00 FF FF FF E1 ),8,D0 FF 03 00 FF FF FF E1 ,
62,0x0CF00A00,06:17:08.947,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0xF0 ) GE(0xA ) SA(0x0 ) PGN(0xF00A ) Data Field(0xFF FF 5E 00 FF FF FF FF ),8,FF FF 5E 00 FF FF FF FF ,
63,0x0CF00E00,06:17:08.947,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0xF0 ) GE(0xE ) SA(0x0 ) PGN(0xF00E ) Data Field(0xFF FF 32 5B FF FF FF FF ),8,FF FF 32 5B FF FF FF FF ,
64,0x1CFE9200,06:17:08.949,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xFE ) GE(0x92 ) SA(0x0 ) PGN(0xFE92 ) Data Field(0x00 FF FF FF 01 00 5A 01 ),8,00 FF FF FF 01 00 5A 01 ,
65,0x18FE9600,06:17:08.949,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0xFE ) GE(0x96 ) SA(0x0 ) PGN(0xFE96 ) Data Field(0xFF FF FF FF FF FF FF FF ),8,FF FF FF FF FF FF FF FF ,
66,0x18FEE000,06:17:08.949,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0xFE ) GE(0xE0 ) SA(0x0 ) PGN(0xFEE0 ) Data Field(0x00 00 00 00 00 00 00 00 ),8,00 00 00 00 00 00 00 00 ,
67,0x18FEF000,06:17:08.951,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0xFE ) GE(0xF0 ) SA(0x0 ) PGN(0xFEF0 ) Data Field(0xFF 28 03 30 2A 01 00 FF ),8,FF 28 03 30 2A 01 00 FF ,
68,0x18FEF100,06:17:08.951,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0xFE ) GE(0xF1 ) SA(0x0 ) PGN(0xFEF1 ) Data Field(0xFF 00 00 FF FF 00 0C FF ),8,FF 00 00 FF FF 00 0C FF ,
69,0x18FEF200,06:17:08.951,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0xFE ) GE(0xF2 ) SA(0x0 ) PGN(0xFEF2 ) Data Field(0x01 00 00 00 FF FA 11 FF ),8,01 00 00 00 FF FA 11 FF ,
70,0x0CF00400,06:17:08.961,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0xF0 ) GE(0x4 ) SA(0x0 ) PGN(0xF004 ) Data Field(0x43 D4 81 40 03 00 FF E5 ),8,43 D4 81 40 03 00 FF E5 ,
71,0x0CF00400,06:17:08.977,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0xF0 ) GE(0x4 ) SA(0x0 ) PGN(0xF004 ) Data Field(0x43 D4 81 48 03 00 FF E5 ),8,43 D4 81 48 03 00 FF E5 ,
72,0x18EBFF00,06:17:08.982,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0xEB ) DA(0xFF ) SA(0x0 ) PGN(0xEB00 ) Data Field(0x03 8A C8 8C FF FF 8C 00 ),8,03 8A C8 8C FF FF 8C 00 ,
73,0x0CF00300,06:17:08.992,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0xF0 ) GE(0x3 ) SA(0x0 ) PGN(0xF003 ) Data Field(0xD0 FF 03 00 FF FF FF E1 ),8,D0 FF 03 00 FF FF FF E1 ,
74,0x0CF00400,06:17:08.993,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0xF0 ) GE(0x4 ) SA(0x0 ) PGN(0xF004 ) Data Field(0x43 D4 81 58 03 00 FF E5 ),8,43 D4 81 58 03 00 FF E5 ,
75,0x0CF00A00,06:17:08.993,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0xF0 ) GE(0xA ) SA(0x0 ) PGN(0xF00A ) Data Field(0xFF FF 5E 00 FF FF FF FF ),8,FF FF 5E 00 FF FF FF FF ,
76,0x0CF00E00,06:17:08.996,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0xF0 ) GE(0xE ) SA(0x0 ) PGN(0xF00E ) Data Field(0xFF FF 32 5B FF FF FF FF ),8,FF FF 32 5B FF FF FF FF ,
77,0x0CFD9200,06:17:08.996,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0xFD ) GE(0x92 ) SA(0x0 ) PGN(0xFD92 ) Data Field(0xF0 FF FF FF FF F3 FF 00 ),8,F0 FF FF FF FF F3 FF 00 ,
78,0x18FEDF00,06:17:08.996,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0xFE ) GE(0xDF ) SA(0x0 ) PGN(0xFEDF ) Data Field(0x8C 30 2A 7D 7D FF FF F0 ),8,8C 30 2A 7D 7D FF FF F0 ,
79,0x0CF00400,06:17:09.007,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0xF0 ) GE(0x4 ) SA(0x0 ) PGN(0xF004 ) Data Field(0x4B D4 81 58 03 00 FF E5 ),8,4B D4 81 58 03 00 FF E5 ,
80,0x0CF00300,06:17:09.039,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0xF0 ) GE(0x3 ) SA(0x0 ) PGN(0xF003 ) Data Field(0xD0 FF 03 00 FF FF FF E1 ),8,D0 FF 03 00 FF FF FF E1 ,
81,0x0CF00400,06:17:09.039,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0xF0 ) GE(0x4 ) SA(0x0 ) PGN(0xF004 ) Data Field(0x4B D4 81 84 03 00 FF E5 ),8,4B D4 81 84 03 00 FF E5 ,
82,0x0CF00A00,06:17:09.039,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0xF0 ) GE(0xA ) SA(0x0 ) PGN(0xF00A ) Data Field(0xFF FF 5E 00 FF FF FF FF ),8,FF FF 5E 00 FF FF FF FF ,
83,0x0CF00E00,06:17:09.041,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0xF0 ) GE(0xE ) SA(0x0 ) PGN(0xF00E ) Data Field(0xFF FF 32 5B FF FF FF FF ),8,FF FF 32 5B FF FF FF FF ,
84,0x1CFE9200,06:17:09.041,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xFE ) GE(0x92 ) SA(0x0 ) PGN(0xFE92 ) Data Field(0x00 FF FF FF 05 00 82 01 ),8,00 FF FF FF 05 00 82 01 ,
85,0x18FE9600,06:17:09.041,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0xFE ) GE(0x96 ) SA(0x0 ) PGN(0xFE96 ) Data Field(0xFF FF FF FF FF FF FF FF ),8,FF FF FF FF FF FF FF FF ,
86,0x18FEE000,06:17:09.043,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0xFE ) GE(0xE0 ) SA(0x0 ) PGN(0xFEE0 ) Data Field(0x00 00 00 00 00 00 00 00 ),8,00 00 00 00 00 00 00 00 ,
87,0x18FEF000,06:17:09.043,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0xFE ) GE(0xF0 ) SA(0x0 ) PGN(0xFEF0 ) Data Field(0xFF 84 03 30 2A 01 00 FF ),8,FF 84 03 30 2A 01 00 FF ,
