序号,帧ID,时间标识,类型,报文描述,报文内容,长度,数据(Hex),
19,0x0C0000EA,23:54:05.636,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0x0 ) DA(0x0 ) SA(0xEA ) PGN(0x0 ) Data Field(0x97 40 38 FF 17 00 00 00 ),8,97 40 38 FF 17 00 00 00 ,
20,0x0CF00400,23:54:05.643,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0xF0 ) GE(0x4 ) SA(0x0 ) PGN(0xF004 ) Data Field(0x63 82 8E 54 38 00 FF 8E ),8,63 82 8E 54 38 00 FF 8E ,
21,0x0C0000EA,23:54:05.645,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0x0 ) DA(0x0 ) SA(0xEA ) PGN(0x0 ) Data Field(0x97 40 38 FF 17 00 00 00 ),8,97 40 38 FF 17 00 00 00 ,
22,0x0C0000EA,23:54:05.654,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0x0 ) DA(0x0 ) SA(0xEA ) PGN(0x0 ) Data Field(0x97 40 38 FF 17 00 00 00 ),8,97 40 38 FF 17 00 00 00 ,
23,0x0CF00300,23:54:05.658,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0xF0 ) GE(0x3 ) SA(0x0 ) PGN(0xF003 ) Data Field(0xD0 FF 0F 00 FF FF FF E1 ),8,D0 FF 0F 00 FF FF FF E1 ,
24,0x0CF00A00,23:54:05.658,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0xF0 ) GE(0xA ) SA(0x0 ) PGN(0xF00A ) Data Field(0xFF FF 0B 04 FF FF FF FF ),8,FF FF 0B 04 FF FF FF FF ,
25,0x0CF00E00,23:54:05.660,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0xF0 ) GE(0xE ) SA(0x0 ) PGN(0xF00E ) Data Field(0xFF FF 32 5B FF FF FF FF ),8,FF FF 32 5B FF FF FF FF ,
26,0x1CFE9200,23:54:05.660,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xFE ) GE(0x92 ) SA(0x0 ) PGN(0xFE92 ) Data Field(0x0C FF FF FF 40 00 0D 00 ),8,0C FF FF FF 40 00 0D 00 ,
27,0x18FE9600,23:54:05.660,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0xFE ) GE(0x96 ) SA(0x0 ) PGN(0xFE96 ) Data Field(0xFF FF FF FF FF FF FF FF ),8,FF FF FF FF FF FF FF FF ,
28,0x18FEE000,23:54:05.660,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0xFE ) GE(0xE0 ) SA(0x0 ) PGN(0xFEE0 ) Data Field(0x00 00 00 00 00 00 00 00 ),8,00 00 00 00 00 00 00 00 ,
29,0x18FEF000,23:54:05.662,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0xFE ) GE(0xF0 ) SA(0x0 ) PGN(0xFEF0 ) Data Field(0xFF 50 38 40 38 01 00 FF ),8,FF 50 38 40 38 01 00 FF ,
30,0x18FEF100,23:54:05.662,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0xFE ) GE(0xF1 ) SA(0x0 ) PGN(0xFEF1 ) Data Field(0xFF 00 00 FF FF 00 0C FF ),8,FF 00 00 FF FF 00 0C FF ,
31,0x18FEF200,23:54:05.662,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0xFE ) GE(0xF2 ) SA(0x0 ) PGN(0xFEF2 ) Data Field(0x54 00 00 00 79 01 27 FF ),8,54 00 00 00 79 01 27 FF ,
32,0x0C0000EA,23:54:05.664,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0x0 ) DA(0x0 ) SA(0xEA ) PGN(0x0 ) Data Field(0x97 40 38 FF 17 00 00 00 ),8,97 40 38 FF 17 00 00 00 ,
33,0x0C0000EA,23:54:05.674,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0x0 ) DA(0x0 ) SA(0xEA ) PGN(0x0 ) Data Field(0x97 40 38 FF 17 00 00 00 ),8,97 40 38 FF 17 00 00 00 ,
34,0x0CF00400,23:54:05.676,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0xF0 ) GE(0x4 ) SA(0x0 ) PGN(0xF004 ) Data Field(0x23 82 8E 40 38 00 FF 8E ),8,23 82 8E 40 38 00 FF 8E ,
35,0x0C0000EA,23:54:05.684,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0x0 ) DA(0x0 ) SA(0xEA ) PGN(0x0 ) Data Field(0x97 40 38 FF 17 00 00 00 ),8,97 40 38 FF 17 00 00 00 ,
36,0x0CF00400,23:54:05.692,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0xF0 ) GE(0x4 ) SA(0x0 ) PGN(0xF004 ) Data Field(0x23 82 8E 24 38 00 FF 8F ),8,23 82 8E 24 38 00 FF 8F ,
37,0x0C0000EA,23:54:05.694,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0x0 ) DA(0x0 ) SA(0xEA ) PGN(0x0 ) Data Field(0x97 40 38 FF 17 00 00 00 ),8,97 40 38 FF 17 00 00 00 ,
38,0x0C0000EA,23:54:05.704,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0x0 ) DA(0x0 ) SA(0xEA ) PGN(0x0 ) Data Field(0x97 40 38 FF 17 00 00 00 ),8,97 40 38 FF 17 00 00 00 ,
39,0x0CF00300,23:54:05.708,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0xF0 ) GE(0x3 ) SA(0x0 ) PGN(0xF003 ) Data Field(0xD0 FF 0F 00 FF FF FF E1 ),8,D0 FF 0F 00 FF FF FF E1 ,
40,0x0CF00400,23:54:05.708,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0xF0 ) GE(0x4 ) SA(0x0 ) PGN(0xF004 ) Data Field(0x33 82 8E 38 38 00 FF 8E ),8,33 82 8E 38 38 00 FF 8E ,
41,0x0CF00A00,23:54:05.710,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0xF0 ) GE(0xA ) SA(0x0 ) PGN(0xF00A ) Data Field(0xFF FF 0F 04 FF FF FF FF ),8,FF FF 0F 04 FF FF FF FF ,
42,0x0CF00E00,23:54:05.710,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0xF0 ) GE(0xE ) SA(0x0 ) PGN(0xF00E ) Data Field(0xFF FF 32 5B FF FF FF FF ),8,FF FF 32 5B FF FF FF FF ,
43,0x0C0000EA,23:54:05.714,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0x0 ) DA(0x0 ) SA(0xEA ) PGN(0x0 ) Data Field(0x97 40 38 FF 17 00 00 00 ),8,97 40 38 FF 17 00 00 00 ,
44,0x0CF00400,23:54:05.725,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0xF0 ) GE(0x4 ) SA(0x0 ) PGN(0xF004 ) Data Field(0x53 82 8E 4C 38 00 FF 8E ),8,53 82 8E 4C 38 00 FF 8E ,
45,0x0C0000EA,23:54:05.725,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0x0 ) DA(0x0 ) SA(0xEA ) PGN(0x0 ) Data Field(0x97 40 38 FF 17 00 00 00 ),8,97 40 38 FF 17 00 00 00 ,
46,0x0C0000EA,23:54:05.735,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0x0 ) DA(0x0 ) SA(0xEA ) PGN(0x0 ) Data Field(0x97 40 38 FF 17 00 00 00 ),8,97 40 38 FF 17 00 00 00 ,
47,0x0C0000EA,23:54:05.744,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0x0 ) DA(0x0 ) SA(0xEA ) PGN(0x0 ) Data Field(0x97 40 38 FF 17 00 00 00 ),8,97 40 38 FF 17 00 00 00 ,
48,0x0CF00300,23:54:05.748,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0xF0 ) GE(0x3 ) SA(0x0 ) PGN(0xF003 ) Data Field(0xD0 FF 0F 00 FF FF FF E1 ),8,D0 FF 0F 00 FF FF FF E1 ,
49,0x0CF00400,23:54:05.748,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0xF0 ) GE(0x4 ) SA(0x0 ) PGN(0xF004 ) Data Field(0x53 82 8E 58 38 00 FF 8E ),8,53 82 8E 58 38 00 FF 8E ,
50,0x0CF00A00,23:54:05.750,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0xF0 ) GE(0xA ) SA(0x0 ) PGN(0xF00A ) Data Field(0xFF FF 57 04 FF FF FF FF ),8,FF FF 57 04 FF FF FF FF ,
51,0x1CFE9200,23:54:05.750,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xFE ) GE(0x92 ) SA(0x0 ) PGN(0xFE92 ) Data Field(0x0C FF FF FF 3E 00 0D 00 ),8,0C FF FF FF 3E 00 0D 00 ,
52,0x18FE9600,23:54:05.750,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0xFE ) GE(0x96 ) SA(0x0 ) PGN(0xFE96 ) Data Field(0x00 FF FF FF FF FF FF FF ),8,00 FF FF FF FF FF FF FF ,
53,0x18FEE000,23:54:05.752,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0xFE ) GE(0xE0 ) SA(0x0 ) PGN(0xFEE0 ) Data Field(0x00 00 00 00 00 00 00 00 ),8,00 00 00 00 00 00 00 00 ,
54,0x18FEF000,23:54:05.752,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0xFE ) GE(0xF0 ) SA(0x0 ) PGN(0xFEF0 ) Data Field(0xFF 58 38 40 38 01 00 FF ),8,FF 58 38 40 38 01 00 FF ,
55,0x18FEF100,23:54:05.752,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0xFE ) GE(0xF1 ) SA(0x0 ) PGN(0xFEF1 ) Data Field(0xFF 00 00 FF FF 00 0C FF ),8,FF 00 00 FF FF 00 0C FF ,
56,0x18FEF200,23:54:05.752,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0xFE ) GE(0xF2 ) SA(0x0 ) PGN(0xFEF2 ) Data Field(0x51 00 00 00 79 01 2A FF ),8,51 00 00 00 79 01 2A FF ,
57,0x18FD0600,23:54:05.753,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0xFD ) GE(0x6 ) SA(0x0 ) PGN(0xFD06 ) Data Field(0x00 FF FF FF FF FF FF FF ),8,00 FF FF FF FF FF FF FF ,
58,0x0C0000EA,23:54:05.755,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0x0 ) DA(0x0 ) SA(0xEA ) PGN(0x0 ) Data Field(0x97 40 38 FF 17 00 00 00 ),8,97 40 38 FF 17 00 00 00 ,
59,0x0CF00E00,23:54:05.755,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0xF0 ) GE(0xE ) SA(0x0 ) PGN(0xF00E ) Data Field(0xFF FF 32 5B FF FF FF FF ),8,FF FF 32 5B FF FF FF FF ,
60,0x0C0000EA,23:54:05.765,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0x0 ) DA(0x0 ) SA(0xEA ) PGN(0x0 ) Data Field(0x97 40 38 FF 17 00 00 00 ),8,97 40 38 FF 17 00 00 00 ,
61,0x0CF00400,23:54:05.765,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0xF0 ) GE(0x4 ) SA(0x0 ) PGN(0xF004 ) Data Field(0x53 82 8E 48 38 00 FF 8E ),8,53 82 8E 48 38 00 FF 8E ,
62,0x0C0000EA,23:54:05.774,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0x0 ) DA(0x0 ) SA(0xEA ) PGN(0x0 ) Data Field(0x97 40 38 FF 17 00 00 00 ),8,97 40 38 FF 17 00 00 00 ,
63,0x0CF00400,23:54:05.782,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0xF0 ) GE(0x4 ) SA(0x0 ) PGN(0xF004 ) Data Field(0x73 82 8E 5C 38 00 FF 8E ),8,73 82 8E 5C 38 00 FF 8E ,
64,0x0C0000EA,23:54:05.784,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0x0 ) DA(0x0 ) SA(0xEA ) PGN(0x0 ) Data Field(0x97 40 38 FF 17 00 00 00 ),8,97 40 38 FF 17 00 00 00 ,
65,0x0C0000EA,23:54:05.794,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0x0 ) DA(0x0 ) SA(0xEA ) PGN(0x0 ) Data Field(0x97 40 38 FF 17 00 00 00 ),8,97 40 38 FF 17 00 00 00 ,
66,0x0CF00300,23:54:05.798,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0xF0 ) GE(0x3 ) SA(0x0 ) PGN(0xF003 ) Data Field(0xD0 FF 10 00 FF FF FF E1 ),8,D0 FF 10 00 FF FF FF E1 ,
67,0x0CF00A00,23:54:05.800,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0xF0 ) GE(0xA ) SA(0x0 ) PGN(0xF00A ) Data Field(0xFF FF 84 04 FF FF FF FF ),8,FF FF 84 04 FF FF FF FF ,
68,0x0CF00E00,23:54:05.800,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0xF0 ) GE(0xE ) SA(0x0 ) PGN(0xF00E ) Data Field(0xFF FF 32 5B FF FF FF FF ),8,FF FF 32 5B FF FF FF FF ,
69,0x0C0000EA,23:54:05.804,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0x0 ) DA(0x0 ) SA(0xEA ) PGN(0x0 ) Data Field(0x97 40 38 FF 17 00 00 00 ),8,97 40 38 FF 17 00 00 00 ,
70,0x0CF00400,23:54:05.814,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0xF0 ) GE(0x4 ) SA(0x0 ) PGN(0xF004 ) Data Field(0x33 82 8F 48 38 00 FF 8E ),8,33 82 8F 48 38 00 FF 8E ,
71,0x0C0000EA,23:54:05.814,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0x0 ) DA(0x0 ) SA(0xEA ) PGN(0x0 ) Data Field(0x97 40 38 FF 17 00 00 00 ),8,97 40 38 FF 17 00 00 00 ,
72,0x0C0000EA,23:54:05.824,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0x0 ) DA(0x0 ) SA(0xEA ) PGN(0x0 ) Data Field(0x97 40 38 FF 17 00 00 00 ),8,97 40 38 FF 17 00 00 00 ,
73,0x0CF00400,23:54:05.830,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0xF0 ) GE(0x4 ) SA(0x0 ) PGN(0xF004 ) Data Field(0x43 82 8F 34 38 00 FF 8E ),8,43 82 8F 34 38 00 FF 8E ,
74,0x0C0000EA,23:54:05.834,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0x0 ) DA(0x0 ) SA(0xEA ) PGN(0x0 ) Data Field(0x97 40 38 FF 17 00 00 00 ),8,97 40 38 FF 17 00 00 00 ,
75,0x0C0000EA,23:54:05.846,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0x0 ) DA(0x0 ) SA(0xEA ) PGN(0x0 ) Data Field(0x97 40 38 FF 17 00 00 00 ),8,97 40 38 FF 17 00 00 00 ,
76,0x0C0000EA,23:54:05.855,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0x0 ) DA(0x0 ) SA(0xEA ) PGN(0x0 ) Data Field(0x97 40 38 FF 17 00 00 00 ),8,97 40 38 FF 17 00 00 00 ,
77,0x0CF00300,23:54:05.862,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0xF0 ) GE(0x3 ) SA(0x0 ) PGN(0xF003 ) Data Field(0xD0 FF 11 00 FF FF FF E1 ),8,D0 FF 11 00 FF FF FF E1 ,
78,0x0CF00400,23:54:05.862,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0xF0 ) GE(0x4 ) SA(0x0 ) PGN(0xF004 ) Data Field(0x03 82 90 30 38 00 FF 8E ),8,03 82 90 30 38 00 FF 8E ,
79,0x0CF00A00,23:54:05.862,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0xF0 ) GE(0xA ) SA(0x0 ) PGN(0xF00A ) Data Field(0xFF FF 84 04 FF FF FF FF ),8,FF FF 84 04 FF FF FF FF ,
80,0x0CF00E00,23:54:05.862,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0xF0 ) GE(0xE ) SA(0x0 ) PGN(0xF00E ) Data Field(0xFF FF 32 5B FF FF FF FF ),8,FF FF 32 5B FF FF FF FF ,
81,0x0CFD9200,23:54:05.863,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0xFD ) GE(0x92 ) SA(0x0 ) PGN(0xFD92 ) Data Field(0xF0 FF FF FF FF F3 FF 00 ),8,F0 FF FF FF FF F3 FF 00 ,
82,0x18FDB200,23:54:05.865,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0xFD ) GE(0xB2 ) SA(0x0 ) PGN(0xFDB2 ) Data Field(0xFF FF FF FF 00 00 FF FF ),8,FF FF FF FF 00 00 FF FF ,
83,0x18FDD000,23:54:05.865,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0xFD ) GE(0xD0 ) SA(0x0 ) PGN(0xFDD0 ) Data Field(0xFF FF FF FF 1D 4F 02 FF ),8,FF FF FF FF 1D 4F 02 FF ,
84,0x0C0000EA,23:54:05.865,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0x0 ) DA(0x0 ) SA(0xEA ) PGN(0x0 ) Data Field(0x97 40 38 FF 17 00 00 00 ),8,97 40 38 FF 17 00 00 00 ,
85,0x1CFE9200,23:54:05.865,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xFE ) GE(0x92 ) SA(0x0 ) PGN(0xFE92 ) Data Field(0x0C FF FF FF 40 00 10 00 ),8,0C FF FF FF 40 00 10 00 ,
86,0x18FE9600,23:54:05.867,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0xFE ) GE(0x96 ) SA(0x0 ) PGN(0xFE96 ) Data Field(0x00 FF FF FF FF FF FF FF ),8,00 FF FF FF FF FF FF FF ,
87,0x18FEDF00,23:54:05.867,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0xFE ) GE(0xDF ) SA(0x0 ) PGN(0xFEDF ) Data Field(0x88 40 38 7D 7D FF FF F5 ),8,88 40 38 7D 7D FF FF F5 ,
88,0x18FEE000,23:54:05.869,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0xFE ) GE(0xE0 ) SA(0x0 ) PGN(0xFEE0 ) Data Field(0x00 00 00 00 00 00 00 00 ),8,00 00 00 00 00 00 00 00 ,
